Id,Company Name,IPO Status,Valuation $B,Valuation $B num,Funding $M,T#Founded,T#Date joined,Country,Headquarter,Category,Description,Website,Source,Years to be Unicorn,Founders,Investors,Estimated revenue,Female founders,Funding rounds,Last funding type
129,Guazi (Chehaoduo)/ Chehaoduo,Private,9,5,3570,2015-01-01,2016-03-12,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Chehaoduo is an online car trading platform that directly links individual car sellers and buyers.,http://www.guazi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,Mark Yang,"Sequoia Capital China, GX Capital",$1M to $10M,No,8,Series D
130,Guild Education,Private,1,1.4,228.5,2015-06-01,2019-11-13,United States,"Denver, Colorado, United States",Internet software & services,"Guild Education's lifelong learning platform offers classes, programs, and degrees for working adults.",http://www.guildeducation.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Brittany Stich, Rachel Carlson","Redpoint Ventures, Harrison Metal, Bessemer Venture Partners",$500M to $1B,Yes,5,Series D
131,Gusto,Private,3.8,1.1,516.1,2011-11-01,2015-12-18,United States,"San Francisco, California, United States",Fintech,"Gusto provides a cloud-based payroll, benefits, and human resource management solution for businesses.",https://www.gusto.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Edward Kim, Josh Reeves, Joshua Reeves, Tomer London","General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",$50M to $100M,No,9,Series D
132,Gympass,Private,1,1.35,300,2012-01-01,2019-06-12,United States,"Brasil, Sao Paulo, Brazil",Internet software & services,Gympass is a fitness discovery platform connecting the world's network of fitness facilities to companies and its employees.,https://www.gympass.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Cesar Carvalho, Joao Barbosa","General Atlantic, SoftBank Group, Atomico",$50M to $100M,No,5,Series D
133,HashiCorp,Private,5.1,3,349.18,2012-01-01,2018-11-01,United States,"San Francisco, California, United States",Internet software & services,"HashiCorp is a remote-first company that solves development, security, and operations challenges in infrastructure.",https://www.hashicorp.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Armon Dadgar, Mitchell Hashimoto","Redpoint Ventures, True Ventures, Mayfield Fund",$10M to $50M,No,5,Series E
134,HeadSpin,Private,1.16,1,140,2015-08-15,2020-02-25,United States,"Palo Alto, California, United States",Mobile & telecommunications,HeadSpin is the worldâ€™s first Connected Intelligence Platformâ„¢ Connected Intelligenceâ„¢,https://www.headspin.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Brien Colwell, Manish Lachwani","ICONIQ Capital, Dell Technologies Capital, Tiger Global Management",$1M to $10M,No,5,Series C
135,Hello TransTech,Private,5,2,1750,2016-01-01,2018-06-01,China,"Shanghai, Shanghai, China",Auto & transportation,Hello TransTech (formerly HelloBike) develops smart-sharing bikes for short distance travelers in China.,http://www.hellobike.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Han Mei, Jiang Wei, Li Kaizhu, Yang Lei","Ant Financial Services Group, GGV Capital",$1M to $10M,Yes,7,Series G
136,Hike,Private,1.4,1,261,2012-12-12,2016-08-16,India,"New Delhi, Delhi, India",Mobile & telecommunications,Hike designs and develops mobile messaging applications.,http://www.hike.in/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Kavin Bharti Mittal,"Foxconn, Tiger Global management, Tencent",$10M to $50M,No,5,Series D
137,Hims,Private,1.1,1,197,2017-01-01,2019-01-29,United States,"San Francisco, California, United States",Health,"Hims is a wellness brand that helps the men get access to products for skin care, erectile dysfunction, and hair loss.",https://www.forhims.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Andrew Dudum, Hilary Coles, Jack Abraham","Forerunner Ventures, Thrive Capital, Redpoint Ventures",$10M to $50M,Yes,7,Series C
138,Hippo/ Hippo Insurance,Private,1.35,1,359,2015-01-01,2019-07-24,United States,"Palo Alto, California, United States",Fintech,Hippo Insurance is an insurtech company that provides insurance products and smart home devices to homeowners.,http://www.myhippo.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Assaf Wand, Eyal Navon","Propel Venture Partners, Horizons Ventures, Comcast Ventures",$50M to $100M,No,6,Series E
