Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
180,Meicai,Private,2.8,1,1450,6/1/2014,1/11/2018,China,"Beijing, Beijing, China",Mobile & telecommunications,"Meicai sells agricultural products online that aims to change agriculture, rural areas, and farmers through the Internet.",http://www.meicai.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Chuanjun Liu, Xueyin Xu","Tiger Global Management, Blue Lake Capital, ZhenFund",$100M to $500M,No,10,Series F
181,Mia.com,Private,1,2.8,231.6,1/1/2011,9/8/2015,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Mia.com provides baby-care products.,http://www.mia.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Nan Liu,"Sequoia Capital China, ZhenFund, K2 Ventures",-,Yes,5,Series E
182,Miaoshou Doctor,Private,1.02,1.2,248.52,1/1/2015,6/27/2019,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Miaoshou Doctor is a health care platform that provides communication services between doctors and patients.,https://www.miaoshou.net/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Daoliang Han, Tao He","Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",-,No,5,Series D
183,MindMaze,Private,1,6.32,110.66,5/24/2012,2/17/2016,Switzerland,"Lausanne, Vaud, Switzerland",Health,MindMaze designs an intuitive mind/machine interface through its neuro-inspired computing platform.,https://www.mindmaze.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Tej Tadi,Hinduja Group,$10M to $50M,No,8,Undisclosed
184,Mofang Living/ Mofang Gongyu,Private,1,1,650,8/1/2010,4/13/2016,China,"Shanghai, Shanghai, China",E-commerce & direct-to-consumer,Mofang Gongyu develops and rents serviced apartments.,http://www.52mf.com.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,-,"Warburg Pincus, Aviation Industry Corporation of China",-,No,4,Series D
185,Momenta,Private,1,1,203.15,1/1/2016,10/17/2018,China,"Beijing, Beijing, China",Artificial intelligence,Momenta is an autonomous driving startup operating out of Beijing.,https://www.momenta.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Gang Sun, Shaoqing Ren, Xudong Cao, Yan Xia","Sinovation Ventures, Tencent Holdings, Sequoia Capital China",$1M to $10M,Yes,11,Venture - Series Unknown
186,monday.com,Private,1.9,2.7,234.1,2/1/2012,7/30/2019,United States,"Tel Aviv, Tel Aviv, Israel",Internet software & services,"monday.com is a Work OS, where teams create and shape workflow apps, code free - to run any process and project",https://monday.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Eran Zinman, Roy Mann","Entree Capital, Genesis Partners, Insight Partners",$1M to $10M,No,6,Secondary Market
187,Monzo,Private,1.57,3.8,492.84,2/1/2015,10/31/2018,United Kingdom,"London, England, United Kingdom",Fintech,Monzo is a digital-only bank platform and marketplace that allows customers to access a range of products and services.,https://monzo.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Gary Dolman, Jason Bates, Jonas Huckestein, Paul Rippon, Tom Blomfield","Passion Capital, Thrive Capital, Orange Digital Ventures",$10M to $50M,No,16,Series G
188,N26,Private,3.5,1,782.79,2/1/2013,1/10/2019,Germany,"Berlin, Berlin, Germany",Fintech,N26 offers mobile banking in 25 markets.,https://n26.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Maximilian Tayenthal, Valentin Stalf","Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",$50M to $100M,No,8,Series D
189,Netskope,Private,3,1,740.1,10/8/2012,11/13/2018,United States,"Santa Clara, California, United States",Cybersecurity,"Netskope is a software company that helps organizations understand online activities, protect data, stop threats, and respond to incidents.",https://www.netskope.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Krishna Narayanaswamy, Sanjay Beri","Lightspeed Venture Partners, Social Capital, Accel",$10M to $50M,No,7,Series G
